count,geometryx,geometryy,x_screen,y_screen
1,-0.135472,51.512212,573.5649326,526.4291085
2,-0.135765,51.512573,542.6827326,465.0591085
1,-0.135871,51.512575,531.5103326,464.7191085
2,-0.135976,51.512672,520.4433326,448.2291085
3,-0.136033,51.512727,514.4355326,438.8791085
1,-0.136115,51.512794,505.7927326,427.4891085
4,-0.13618,51.512846,498.9417326,418.6491085
1,-0.136083,51.512879,509.1655326,413.0391085
1,-0.136139,51.512939,503.2631326,402.8391085
7,-0.135329,51.512765,588.6371326,432.4191085
3,-0.135122,51.512844,610.4549326,418.9891085
8,-0.134645,51.512532,660.7307326,472.0291085
1,-0.134522,51.512198,673.6949326,528.8091085
1,-0.134967,51.512215,626.7919326,525.9191085
5,-0.135098,51.513154,612.9845326,366.2891085
8,-0.134394,51.513056,687.1861326,382.9491085
2,-0.134505,51.513165,675.4867326,364.4191085
1,-0.134437,51.513098,682.6539326,375.8091085
1,-0.134594,51.513238,666.1061326,352.0091085
2,-0.13464,51.513293,661.2577326,342.6591085
1,-0.134709,51.513379,653.9851326,328.0391085
2,-0.134756,51.513431,649.0313326,319.1991085
2,-0.135244,51.513475,597.5961326,311.7191085
3,-0.134897,51.513422,634.1699326,320.7291085
1,-0.135158,51.513528,606.6605326,302.7091085
2,-0.135344,51.513481,587.0561326,310.6991085
2,-0.135063,51.513594,616.6735326,291.4891085
3,-0.135801,51.513227,538.8883326,353.8791085
1,-0.135762,51.51318,542.9989326,361.8691085
2,-0.13574,51.513132,545.3177326,370.0291085
1,-0.135645,51.513048,555.3307326,384.3091085
1,-0.135602,51.513006,559.8629326,391.4491085
1,-0.135501,51.512883,570.5083326,412.3591085
1,-0.135832,51.51327,535.6209326,346.5691085
3,-0.136049,51.513459,512.7491326,314.4391085
3,-0.13614,51.513431,503.1577326,319.1991085
3,-0.136228,51.513402,493.8825326,324.1291085
3,-0.134999,51.512593,623.4191326,461.6591085
1,-0.134793,51.512585,645.1315326,463.0191085
2,-0.134896,51.512555,634.2753326,468.1191085
1,-0.135,51.512521,623.3137326,473.8991085
1,-0.133483,51.513137,783.2055326,369.1791085
1,-0.133265,51.513228,806.1827326,353.7091085
2,-0.133296,51.513152,802.9153326,366.6291085
1,-0.132933,51.513258,841.1755326,348.6091085
1,-0.133998,51.513544,728.9245326,299.9891085
1,-0.134042,51.513626,724.2869326,286.0491085
2,-0.134156,51.513637,712.2713326,284.1791085
2,-0.134091,51.513524,719.1223326,303.3891085
1,-0.134272,51.51382,700.0449326,253.0691085
1,-0.13422,51.513724,705.5257326,269.3891085
1,-0.134704,51.513704,654.5121326,272.7891085
1,-0.134782,51.513831,646.2909326,251.1991085
1,-0.13501,51.513915,622.2597326,236.9191085
1,-0.134923,51.513597,631.4295326,290.9791085
1,-0.134885,51.514032,635.4347326,217.0291085
5,-0.134212,51.513891,706.3689326,240.9991085
1,-0.134135,51.513758,714.4847326,263.6091085
1,-0.134364,51.514065,690.3481326,211.4191085
2,-0.134447,51.514146,681.5999326,197.6491085
2,-0.134479,51.514201,678.2271326,188.2991085
1,-0.134658,51.51423,659.3605326,183.3691085
1,-0.134367,51.514319,690.0319326,168.2391085
1,-0.134179,51.514377,709.8471326,158.3791085
1,-0.13416,51.514357,711.8497326,161.7791085
2,-0.134069,51.514382,721.4411326,157.5291085
2,-0.134085,51.514402,719.7547326,154.1291085
5,-0.133821,51.514522,747.5803326,133.7291085
1,-0.133922,51.514497,736.9349326,137.9791085
1,-0.13385,51.514472,744.5237326,142.2291085
1,-0.133725,51.514504,757.6987326,136.7891085
1,-0.133745,51.514546,755.5907326,129.6491085
4,-0.133676,51.514561,762.8633326,127.0991085
1,-0.133563,51.514594,774.7735326,121.4891085
2,-0.133467,51.514581,784.8919326,123.6991085
1,-0.133393,51.514606,792.6915326,119.4491085
1,-0.134474,51.515834,678.7541326,-89.31089147
1,-0.135259,51.515195,596.0151326,19.31910853
1,-0.135395,51.515149,581.6807326,27.13910853
1,-0.136022,51.514818,515.5949326,83.40910853
3,-0.136804,51.514843,433.1721326,79.15910853
1,-0.136583,51.514914,456.4655326,67.08910853
1,-0.135653,51.514496,554.4875326,138.1491085
2,-0.135578,51.514743,562.3925326,96.15910853
1,-0.13486,51.514467,638.0697326,143.0791085
